Word;Part of speech;Translation;example;theme
refund;noun;ru: возврат денег -- ua: повернення грошей;I got a refund for the defective item. + The store offers a full refund. + He requested a refund.;ua: гроші -- ru: деньги
repayment;noun;ru: погашение долга -- ua: погашення боргу;The loan repayment is due soon. + He made an early repayment. + The bank offers flexible repayment options.;ua: гроші -- ru: деньги
rich;adjective;ru: богатый -- ua: багатий;He is a very rich man. + They live in a rich neighborhood. + She became rich through investments.;ua: гроші -- ru: деньги
to sell;verb;ru: продавать -- ua: продавати;He sells cars. + She sold her house. + The shop sells clothes.;ua: гроші -- ru: деньги
shortage;noun;ru: нехватка, дефицит -- ua: нестача, дефіцит;There is a shortage of water. + The food shortage is getting worse. + The factory closed due to a labor shortage.;ua: гроші -- ru: деньги
small change;noun;ru: мелочь (монеты) -- ua: дрібні гроші;Do you have any small change? + I paid with small change. + The cashier gave me small change.;ua: гроші -- ru: деньги
to speculate;verb;ru: спекулировать -- ua: спекулювати;He speculated in the stock market. + Investors speculate on currency prices. + The company speculated on real estate.;ua: гроші -- ru: деньги
tax;noun;ru: налог -- ua: податок;Everyone has to pay taxes. + The government increased taxes. + Tax rates vary by country.;ua: гроші -- ru: деньги
tenner;noun;ru: десятидолларовая/фунтовая купюра -- ua: десятка (банкнота);He gave me a tenner. + I only have a tenner left. + Can you break a tenner?;ua: гроші -- ru: деньги
tip;noun;ru: чаевые -- ua: чайові;He left a generous tip. + In this country, tipping is expected. + The waiter received a big tip.;ua: гроші -- ru: деньги
transaction;noun;ru: сделка, операция -- ua: угода, операція;The bank processed my transaction. + This transaction was successful. + He recorded all transactions.;ua: гроші -- ru: деньги
wealth;noun;ru: богатство -- ua: багатство;He inherited great wealth. + The country has natural wealth. + Wealth should be distributed fairly.;ua: гроші -- ru: деньги
wealthy;adjective;ru: состоятельный, богатый -- ua: заможний, багатий;She comes from a wealthy family. + Many wealthy people invest in real estate. + He became wealthy through business.;ua: гроші -- ru: деньги
to withdraw;verb;ru: снимать деньги -- ua: знімати гроші;He withdrew $200 from the ATM. + I need to withdraw some cash. + She withdrew money for her trip.;ua: гроші -- ru: деньги
gross income;noun;ru: валовой доход -- ua: валовий дохід;His gross income is $50,000 a year. + The company reported an increase in gross income. + Gross income is calculated before taxes.;ua: гроші -- ru: деньги
to haggle;verb;ru: торговаться -- ua: торгуватися;He haggled over the price of the car. + Tourists love to haggle at the market. + She haggled and got a better deal.;ua: гроші -- ru: деньги
area;noun;ru: область, территория -- ua: область, територія;This area is famous for its vineyards. + They live in a rural area. + The crime rate in this area is high.;ua: географія -- ru: география
atlas;noun;ru: атлас (карт) -- ua: атлас (карт);He bought a world atlas. + The geography teacher showed us an atlas. + The atlas contains detailed maps.;ua: географія -- ru: география
bay;noun;ru: залив, бухта -- ua: затока, бухта;The ship anchored in the bay. + We swam in a beautiful bay. + The bay is home to many dolphins.;ua: географія -- ru: география
beach;noun;ru: пляж -- ua: пляж;They spent the day at the beach. + The beach was crowded. + She loves walking along the beach.;ua: географія -- ru: география
canal;noun;ru: канал -- ua: канал;The Suez Canal connects the Mediterranean and Red Seas. + Boats move slowly through the canal. + The city has a network of canals.;ua: географія -- ru: география
cape;noun;ru: мыс -- ua: мис;The lighthouse is located on a cape. + The ship sailed past the rocky cape. + We visited the famous Cape of Good Hope.;ua: географія -- ru: география
capital;noun;ru: столица -- ua: столиця;Paris is the capital of France. + The capital city is very crowded. + The country’s capital is known for its history.;ua: географія -- ru: география
city;noun;ru: город -- ua: місто;New York is a big city. + The city has many attractions. + They moved to the city for work.;ua: географія -- ru: география
